,f_g_all_caps_wordcount,f_g_sentence_wo_cap_at_start,f_g_sentence_lower_at_start,f_g_a_an_error_count,f_g_cont_punct_count,f_i_quotation_count,f_i_question_count,f_i_exclamation_count,f_o_he_she_ratio,f_d_character_count,f_d_word_count,f_d_sentence_count,f_d_punctuation_count,f_d_digit_count,f_d_uppercase_count,f_d_short_word_count,f_d_alphabet_count,f_d_contraction_count,f_d_word_without_vowels_count,f_d_hapax_legomenon_count,f_c_mean_word_length,f_c_mean_sentence_length,f_c_word_length_standard_deviation,f_c_sentence_length_standard_deviation,f_c_mean_word_frequency,f_c_lexical_diversity_coefficient,f_c_syntactic_complexity_coefficient,f_c_herdans_log_type_token_richness,author
35,0,216,166,0,0,0,0,0,1.0,228,50,228,9,0,12,37,21,0,8,32,3.74,44.8,2.431,74.379,1.316,0.64,0.9,0.886,shakespeare
36,0,463,346,0,0,2,1,0,3.0,474,103,474,27,0,11,71,23,1,22,56,3.786,94.0,2.395,60.092,1.373,0.544,0.951,0.869,chesterton
37,0,494,377,0,0,0,0,0,0.16666666666666666,510,114,510,23,0,16,83,26,0,7,47,3.658,101.2,2.387,26.93,1.701,0.412,0.956,0.813,austen
38,0,401,309,0,0,0,5,0,1.0,406,88,406,11,0,5,59,24,4,7,34,3.693,80.4,2.059,13.012,1.571,0.386,0.943,0.788,chesterton
39,0,586,454,0,0,1,0,0,2.0,595,130,595,24,0,9,92,23,0,10,62,3.777,118.2,2.422,73.934,1.548,0.477,0.962,0.848,chesterton
40,0,458,358,0,0,0,0,0,6.0,470,100,470,13,0,12,74,22,1,4,41,3.83,93.2,2.391,27.197,1.613,0.41,0.95,0.806,chesterton
41,0,152,112,0,0,0,1,0,1.0,161,40,161,8,0,9,31,22,1,4,30,3.225,31.4,1.915,35.956,1.176,0.75,0.875,0.922,shakespeare
42,0,536,408,0,0,5,0,0,1.0,546,118,546,33,0,10,78,25,1,16,52,3.924,108.4,2.693,56.354,1.662,0.441,0.958,0.828,chesterton
43,0,686,550,0,0,0,0,0,2.0,692,136,692,15,0,6,89,25,0,0,69,4.199,137.6,2.635,41.15,1.462,0.507,0.963,0.862,chesterton
44,0,660,520,0,0,1,0,0,2.0,665,137,665,24,0,5,90,23,2,5,65,4.022,132.2,2.677,83.076,1.575,0.474,0.964,0.848,chesterton
45,0,575,424,0,0,0,0,0,1.0,604,145,604,34,0,29,108,23,6,14,53,3.359,120.0,2.216,80.978,1.686,0.366,0.966,0.798,shakespeare
46,0,1207,922,0,0,0,0,0,2.6666666666666665,1234,265,1234,59,0,27,191,26,4,22,103,3.808,246.0,2.391,235.587,1.743,0.389,0.981,0.831,austen
47,0,679,546,0,0,0,0,0,1.0,689,131,689,18,0,10,79,23,2,9,65,4.382,137.0,2.733,68.851,1.506,0.496,0.962,0.856,chesterton
48,0,310,236,0,0,0,0,2,0.25,318,72,318,10,0,8,54,24,1,1,28,3.528,62.8,1.884,22.287,1.532,0.389,0.931,0.779,austen
49,0,358,267,0,0,0,0,0,2.0,374,91,374,14,1,16,66,22,0,11,47,3.275,74.0,1.826,88.986,1.492,0.516,0.945,0.854,shakespeare
50,0,381,294,0,0,0,1,0,2.0,395,85,395,15,0,14,56,23,1,6,55,3.8,78.2,2.214,65.618,1.232,0.647,0.941,0.902,shakespeare
51,0,1025,799,0,0,1,1,0,2.0,1045,218,1045,40,0,20,148,26,1,5,94,3.954,208.2,2.536,163.949,1.758,0.431,0.977,0.844,austen
52,0,124,96,0,0,0,0,0,1.0,135,28,135,7,0,11,19,21,0,2,21,4.071,26.2,2.775,26.167,1.167,0.75,0.821,0.914,shakespeare
53,0,192,144,0,0,2,1,1,3.0,197,44,197,10,0,5,31,22,0,6,27,3.727,38.6,2.582,28.192,1.222,0.614,0.886,0.871,chesterton
54,0,716,560,0,0,0,0,1,3.5,731,151,731,28,0,15,103,25,1,7,64,4.0,145.4,2.764,156.987,1.659,0.424,0.967,0.829,austen
55,0,579,454,0,0,2,0,0,2.6666666666666665,591,123,591,21,0,12,83,24,3,7,57,3.992,117.4,2.249,32.501,1.577,0.463,0.959,0.84,chesterton
56,0,373,284,0,0,1,0,2,2.0,384,83,384,16,0,11,57,23,1,10,54,3.771,76.0,2.27,41.249,1.258,0.651,0.94,0.903,austen
57,0,485,380,0,0,2,1,0,3.0,491,102,491,15,0,6,70,24,1,6,51,3.971,97.4,2.318,58.393,1.417,0.5,0.951,0.85,chesterton
58,0,240,177,0,0,3,1,0,2.0,247,58,247,14,0,7,44,22,1,9,33,3.517,48.6,2.079,38.837,1.318,0.569,0.914,0.861,chesterton
59,0,309,233,0,0,0,0,0,2.0,321,75,321,15,0,12,57,23,0,7,43,3.467,63.4,2.177,53.617,1.364,0.573,0.933,0.871,shakespeare
60,0,804,653,0,0,0,0,0,1.0,811,152,811,14,0,7,88,25,0,1,72,4.434,161.4,2.608,79.538,1.551,0.474,0.967,0.851,chesterton
61,0,294,224,0,0,0,0,0,3.0,301,71,301,10,0,7,52,23,0,4,37,3.394,59.4,2.141,26.063,1.449,0.521,0.93,0.847,chesterton
62,0,720,577,0,0,0,0,0,7.0,728,142,728,20,0,8,86,26,0,2,72,4.261,144.8,2.782,105.253,1.527,0.507,0.965,0.863,chesterton
63,1,595,469,0,0,0,0,0,2.0,608,125,608,12,0,13,80,24,0,4,66,3.952,120.8,2.436,63.935,1.437,0.528,0.96,0.868,chesterton
64,0,412,310,0,1,0,0,0,0.5,432,99,432,17,0,20,68,22,1,6,55,3.505,85.6,1.935,111.74,1.394,0.556,0.949,0.872,shakespeare
65,0,804,645,0,0,0,0,0,1.0,812,155,812,21,0,8,100,27,0,7,79,4.348,161.6,2.705,116.82,1.435,0.51,0.968,0.866,austen
66,0,480,376,0,0,0,0,0,6.0,487,105,487,16,0,7,71,24,1,4,48,3.8,96.6,2.647,43.701,1.522,0.457,0.952,0.832,chesterton
67,0,806,626,0,0,3,1,0,2.0,812,170,812,33,0,6,116,27,0,12,88,3.947,161.6,2.443,67.637,1.545,0.518,0.971,0.872,chesterton
68,0,344,275,0,0,0,0,0,0.5,351,69,351,11,0,7,45,23,1,4,42,4.246,69.4,2.897,49.394,1.302,0.609,0.928,0.883,austen
69,0,413,316,0,1,0,0,0,2.0,437,94,437,18,0,24,66,24,0,3,56,3.809,86.6,2.32,83.269,1.306,0.596,0.947,0.886,shakespeare
70,0,612,472,0,0,1,0,0,1.0,622,132,622,26,0,10,88,25,0,9,58,3.871,123.6,2.419,78.271,1.59,0.439,0.962,0.832,austen
71,0,834,664,0,0,0,0,0,0.4,844,171,844,17,0,10,115,26,0,4,84,4.047,168.0,2.303,136.764,1.569,0.491,0.971,0.862,austen
72,0,1015,807,0,0,0,0,0,0.6666666666666666,1026,203,1026,32,0,11,136,26,0,3,82,4.187,204.4,2.929,118.202,1.829,0.404,0.975,0.829,austen
73,0,307,229,0,0,0,1,0,1.0,323,73,323,12,0,16,54,23,0,8,43,3.521,63.8,2.45,113.95,1.304,0.589,0.932,0.877,shakespeare
74,0,765,606,0,0,2,0,1,0.16666666666666666,780,153,780,21,0,15,102,25,2,9,80,4.222,155.2,2.514,165.247,1.43,0.523,0.967,0.871,austen
75,0,560,447,0,0,0,0,0,0.6666666666666666,572,114,572,9,0,12,69,24,0,3,60,4.105,113.6,2.183,31.061,1.443,0.526,0.956,0.864,chesterton
76,0,660,515,0,1,0,0,0,4.0,666,141,666,20,0,6,96,24,0,0,65,3.837,132.4,2.386,57.103,1.602,0.461,0.965,0.844,chesterton
77,0,172,134,0,0,0,0,0,1.0,184,39,184,4,0,12,25,22,0,6,29,3.846,36.0,2.289,39.73,1.083,0.744,0.872,0.919,shakespeare
78,0,346,263,0,0,1,0,0,2.0,355,79,355,17,0,9,57,24,0,6,47,3.696,70.2,2.409,30.31,1.295,0.595,0.937,0.881,chesterton
