	English	Latin	Swedish
SWEET		dulkis	
SWELL	swɛl	tumeːre	svɛ̀lːa
SWIM	swɪm	naːre	sɪ̀mːa
TAIL	teɪl	kau̯da	svans
TAKE		kapere	
THAT	ðæt	ilːe	
THERE	ðɛə		dæːr
THEY	ðɛɪ	eiː	dɔmː
THICK	θɪk	spisːus	ɕɔkː
THIGH		feːmur	
THIN	θɪn	tenuis	tɵnː
THINK	θɪŋk	koːgitaːre	tɛ̀ŋka
THIS	ðɪs	hik	
THREE	θri:	treːs	treː
THROW	θrəʊ	jakere	kàsta
TIE	taɪ	ligaːre	knỳːta
TONGUE	tʌŋ	linɡwa	tɵ̀ŋːa
TOOTH	tu:θ	dens	tand
TREE	tri:	arbor	trɛ:(d)
TRUE	raɪt	rektus	rɛtː
TURN	tɜ:n	wertere	vɛ̀nda
TWO	tu:	duo	tvo:
VOMIT	vɑmɪt	womere	
WALK	wɔ:k	ambulaːre	go:
WASH	wɒʃ	lawaːre	tvɛ̀tːa
WATER	'wɔ:tə	akʷa	vatːən
WE	wi:	noːs	viː
WET	wɛt	uːmidus	voːt
WHAT	wɒt	kʷid	vɑː(d)
WHEN	wɛn	kʷandoː	næ:r
WHERE	wɛə	ubi	vɑːr
WHITE	waɪt	albus	vi:t
WHO	hu:	kʷiː	vɛmː
WIDE		laːtus	breːd
WIND	wɪnd	wentus	vɪnd
WING	wɪŋ	penːa	vɪ̀ŋːə
WITH	wɪð	kum	meːd
WOMAN	'wʊmən	feːmina	kvɪ̀nːa
WORM	wɜ:m	wermis	mask
YEAR	jɪə	anːus	o:r
YELLOW	'jɛləʊ	flaːwus	ɡʉːl
YESTERDAY		heːri	
YOU_PL.	ji:	woːs	niː
YOU_SG.	ðaʊ	tuː	dʉː
